# PROXY LIST: SOCKS4 - Generated: 2025-03-01 01:29:44
# Total found: 2598 | Working: 167 | Success rate: 6.4%
# Format: IP:PORT | COUNTRY | ANONYMITY | LATENCY
# ---------------------------------------------------------

# ELITE PROXIES (3)
54.37.214.253:8080 | France | Elite | 1069ms
57.129.34.139:1080 | Germany | Elite | 865ms
211.95.152.50:45046 | China | Elite | 1090ms

# ANONYMOUS PROXIES (1)
71.14.218.2:8080 | United States | Anonymous | 109ms

# TRANSPARENT PROXIES (6)
185.105.102.189:80 | United States | Transparent | 725ms
188.132.222.15:8080 | United States | Transparent | 9999ms
31.177.111.6:3128 | United States | Transparent | 519ms
101.201.225.47:80 | United States | Transparent | 1041ms
90.85.169.218:3128 | United States | Transparent | 1004ms
152.228.154.20:80 | United States | Transparent | 345ms

# UNKNOWN ANONYMITY PROXIES (157)
47.252.50.153:3128 | United States | Unknown | 9999ms
3.78.92.159:3128 | Germany | Unknown | 196ms
54.233.119.172:3128 | Brazil | Unknown | 235ms
18.228.198.164:80 | Brazil | Unknown | 237ms
13.36.87.105:3128 | France | Unknown | 174ms
15.207.35.241:80 | India | Unknown | 406ms
65.108.195.47:8080 | Finland | Unknown | 435ms
65.1.244.232:80 | India | Unknown | 1622ms
3.9.71.167:80 | United Kingdom | Unknown | 167ms
3.78.92.159:80 | Germany | Unknown | 193ms
46.35.9.110:80 | France | Unknown | 9999ms
16.16.239.39:3128 | Sweden | Unknown | 216ms
35.154.78.253:1080 | India | Unknown | 406ms
103.152.112.195:80 | United States | Unknown | 563ms
35.154.78.253:3128 | India | Unknown | 406ms
117.74.65.207:443 | China | Unknown | 2511ms
47.92.152.43:3128 | China | Unknown | 2571ms
8.215.15.163:8443 | Indonesia | Unknown | 9999ms
204.236.176.61:3128 | United States | Unknown | 139ms
13.36.104.85:80 | France | Unknown | 173ms
3.127.62.252:80 | Germany | Unknown | 191ms
52.65.193.254:3128 | Australia | Unknown | 399ms
162.223.90.130:80 | United States | Unknown | 104ms
45.61.159.42:3128 | United States | Unknown | 9999ms
51.17.58.162:3128 | Israel | Unknown | 273ms
3.37.125.76:3128 | South Korea | Unknown | 372ms
54.248.238.110:80 | Japan | Unknown | 309ms
103.152.112.186:80 | United States | Unknown | 416ms
87.248.129.26:80 | United Arab Emirates | Unknown | 9999ms
158.255.77.166:80 | United Arab Emirates | Unknown | 1110ms
5.106.6.235:80 | Iran | Unknown | 1941ms
47.251.122.81:8888 | United States | Unknown | 9999ms
51.195.248.19:80 | United Kingdom | Unknown | 9999ms
34.238.112.235:8082 | United States | Unknown | 36ms
3.127.121.101:80 | Germany | Unknown | 189ms
18.228.149.161:80 | Brazil | Unknown | 244ms
43.201.121.81:80 | South Korea | Unknown | 378ms
3.90.100.12:80 | United States | Unknown | 1072ms
35.154.78.253:80 | India | Unknown | 384ms
13.55.210.141:3128 | Australia | Unknown | 395ms
