# PROXY LIST: SOCKS4 - Generated: 2025-03-02 01:21:35
# Total found: 2730 | Working: 176 | Success rate: 6.4%
# Format: IP:PORT | COUNTRY | ANONYMITY | LATENCY
# ---------------------------------------------------------

# ELITE PROXIES (5)
58.240.211.250:7890 | China | Elite | 1013ms
45.140.143.77:18080 | The Netherlands | Elite | 841ms
51.68.175.56:1080 | Germany | Elite | 2080ms
54.37.214.253:8080 | France | Elite | 267ms
200.174.198.86:8888 | Unknown | Elite | 497ms

# ANONYMOUS PROXIES (1)
71.14.218.2:8080 | United States | Anonymous | 124ms

# TRANSPARENT PROXIES (7)
159.65.230.46:8888 | United States | Transparent | 43ms
148.206.32.3:8080 | United States | Transparent | 163ms
192.140.93.6:3128 | United States | Transparent | 9999ms
220.233.184.21:80 | United States | Transparent | 9999ms
190.94.213.5:999 | United States | Transparent | 9999ms
181.78.64.172:999 | United States | Transparent | 9999ms
77.83.246.25:80 | United States | Transparent | 436ms

# UNKNOWN ANONYMITY PROXIES (163)
3.21.101.158:3128 | United States | Unknown | 56ms
44.219.175.186:80 | United States | Unknown | 14ms
13.56.192.187:80 | United States | Unknown | 139ms
18.135.133.116:80 | United Kingdom | Unknown | 170ms
3.126.147.182:80 | Germany | Unknown | 186ms
35.79.120.242:3128 | Japan | Unknown | 327ms
18.228.149.161:80 | Brazil | Unknown | 234ms
47.88.59.79:82 | United States | Unknown | 276ms
13.126.184.76:3128 | India | Unknown | 388ms
103.118.46.61:8080 | Cambodia | Unknown | 1031ms
79.110.200.148:8081 | Poland | Unknown | 644ms
13.40.239.130:3128 | United Kingdom | Unknown | 173ms
18.134.236.231:1080 | United Kingdom | Unknown | 168ms
141.11.103.136:8080 | The Netherlands | Unknown | 9999ms
178.177.54.157:8080 | Russia | Unknown | 9999ms
43.201.121.81:80 | South Korea | Unknown | 360ms
79.110.202.184:8081 | Poland | Unknown | 414ms
54.179.39.14:3128 | Singapore | Unknown | 454ms
5.106.6.235:80 | Iran | Unknown | 844ms
8.130.39.117:55443 | China | Unknown | 2593ms
222.96.176.71:3128 | South Korea | Unknown | 9999ms
52.16.232.164:3128 | Ireland | Unknown | 154ms
45.144.64.153:8080 | Russia | Unknown | 9999ms
65.1.244.232:3128 | India | Unknown | 393ms
52.196.1.182:80 | Japan | Unknown | 323ms
204.236.176.61:3128 | United States | Unknown | 138ms
34.238.112.235:8082 | United States | Unknown | 39ms
16.16.239.39:3128 | Sweden | Unknown | 225ms
13.37.73.214:80 | France | Unknown | 178ms
18.223.25.15:80 | United States | Unknown | 1114ms
3.139.242.184:80 | United States | Unknown | 2135ms
102.132.33.55:8080 | South Africa | Unknown | 9999ms
51.16.179.113:1080 | Israel | Unknown | 290ms
52.63.129.110:3128 | Australia | Unknown | 393ms
89.23.112.143:80 | Russia | Unknown | 459ms
200.250.131.218:80 | Brazil | Unknown | 625ms
37.140.51.159:80 | Russia | Unknown | 9999ms
3.127.62.252:80 | Germany | Unknown | 187ms
44.218.183.55:80 | United States | Unknown | 14ms
3.97.176.251:3128 | Canada | Unknown | 50ms
35.76.62.196:80 | Japan | Unknown | 322ms
13.55.210.141:3128 | Australia | Unknown | 400ms
37.187.25.85:80 | France | Unknown | 483ms
145.239.196.123:80 | France | Unknown | 2313ms
3.130.65.162:3128 | United States | Unknown | 51ms
204.236.137.68:80 | United States | Unknown | 131ms
35.178.104.4:1080 | United Kingdom | Unknown | 173ms
13.38.153.36:80 | France | Unknown | 177ms
51.20.19.159:3128 | Sweden | Unknown | 220ms
23.88.116.40:80 | Germany | Unknown | 423ms
43.202.154.212:80 | South Korea | Unknown | 367ms
185.49.31.205:8080 | Poland | Unknown | 712ms
