# PROXY LIST: SOCKS4 - Generated: 2025-02-28 01:25:05
# Total found: 2570 | Working: 170 | Success rate: 6.6%
# Format: IP:PORT | COUNTRY | ANONYMITY | LATENCY
# ---------------------------------------------------------

# ELITE PROXIES (3)
54.37.214.253:8080 | France | Elite | 289ms
83.217.23.35:8090 | Russia | Elite | 999ms
200.174.198.86:8888 | Unknown | Elite | 1556ms

# ANONYMOUS PROXIES (1)
71.14.218.2:8080 | United States | Anonymous | 217ms

# TRANSPARENT PROXIES (6)
45.233.90.10:443 | United States | Transparent | 9999ms
190.94.213.80:999 | United States | Transparent | 9999ms
38.242.202.236:8080 | United States | Transparent | 884ms
5.202.88.1:80 | United States | Transparent | 9999ms
185.105.102.189:80 | United States | Transparent | 856ms
49.229.100.235:8080 | United States | Transparent | 9999ms

# UNKNOWN ANONYMITY PROXIES (160)
13.37.89.201:3128 | France | Unknown | 174ms
43.202.154.212:80 | South Korea | Unknown | 390ms
43.163.87.93:8080 | Singapore | Unknown | 932ms
102.132.33.55:8080 | South Africa | Unknown | 1456ms
3.139.242.184:80 | United States | Unknown | 52ms
54.233.119.172:3128 | Brazil | Unknown | 232ms
18.228.198.164:80 | Brazil | Unknown | 231ms
23.247.136.254:80 | United States | Unknown | 293ms
13.126.184.76:3128 | India | Unknown | 407ms
52.63.129.110:3128 | Australia | Unknown | 403ms
103.152.112.159:80 | United States | Unknown | 664ms
83.168.74.163:8080 | Poland | Unknown | 9999ms
5.106.6.235:80 | Iran | Unknown | 9999ms
13.59.156.167:3128 | United States | Unknown | 51ms
34.238.112.235:8082 | United States | Unknown | 32ms
103.152.112.157:80 | United States | Unknown | 376ms
13.37.59.99:3128 | France | Unknown | 174ms
13.36.87.105:3128 | France | Unknown | 173ms
13.38.153.36:80 | France | Unknown | 174ms
52.67.10.183:3128 | Brazil | Unknown | 239ms
51.16.179.113:1080 | Israel | Unknown | 272ms
52.67.10.183:80 | Brazil | Unknown | 232ms
13.36.104.85:80 | France | Unknown | 191ms
95.66.138.21:8880 | Russia | Unknown | 649ms
3.12.144.146:3128 | United States | Unknown | 55ms
3.141.217.225:80 | United States | Unknown | 55ms
184.169.154.119:80 | United States | Unknown | 138ms
18.133.16.21:1080 | United Kingdom | Unknown | 166ms
18.135.133.116:80 | United Kingdom | Unknown | 169ms
3.130.65.162:3128 | United States | Unknown | 1085ms
13.55.210.141:3128 | Australia | Unknown | 404ms
18.134.236.231:1080 | United Kingdom | Unknown | 168ms
54.152.3.36:80 | United States | Unknown | 15ms
3.212.148.199:3128 | United States | Unknown | 14ms
3.10.93.50:80 | United Kingdom | Unknown | 164ms
204.236.176.61:3128 | United States | Unknown | 138ms
103.49.114.5:8080 | Bangladesh | Unknown | 9999ms
84.39.112.144:3128 | United States | Unknown | 383ms
190.103.177.131:80 | Argentina | Unknown | 9999ms
3.97.176.251:3128 | Canada | Unknown | 48ms
13.48.109.48:3128 | Sweden | Unknown | 223ms
185.212.60.62:80 | The Netherlands | Unknown | 354ms
3.136.29.104:80 | United States | Unknown | 51ms
35.79.120.242:3128 | Japan | Unknown | 1509ms
51.16.199.206:3128 | Israel | Unknown | 293ms
35.76.62.196:80 | Japan | Unknown | 336ms
45.61.159.42:3128 | United States | Unknown | 163ms
51.254.78.223:80 | Ireland | Unknown | 741ms
158.255.77.168:80 | United Arab Emirates | Unknown | 738ms
79.110.202.131:8081 | Poland | Unknown | 9999ms
58.240.211.251:7890 | China | Unknown | 9999ms
13.59.156.167:80 | United States | Unknown | 48ms
15.156.24.206:3128 | Canada | Unknown | 49ms
44.218.183.55:80 | United States | Unknown | 14ms
18.135.211.182:3128 | United Kingdom | Unknown | 170ms
13.37.73.214:80 | France | Unknown | 173ms
44.226.167.102:3128 | United States | Unknown | 174ms
3.9.71.167:1080 | United Kingdom | Unknown | 169ms
3.127.62.252:80 | Germany | Unknown | 189ms
198.74.51.79:8888 | United States | Unknown | 270ms
79.110.202.184:8081 | Poland | Unknown | 444ms
43.200.77.128:3128 | South Korea | Unknown | 381ms
52.65.193.254:3128 | Australia | Unknown | 403ms
178.177.54.157:8080 | Russia | Unknown | 9999ms
212.108.142.145:9090 | Cyprus | Unknown | 612ms
141.11.103.136:8080 | The Netherlands | Unknown | 626ms
113.212.108.107:8080 | Bangladesh | Unknown | 1062ms
54.228.164.102:3128 | Ireland | Unknown | 153ms
54.67.125.45:3128 | United States | Unknown | 137ms
13.38.176.104:3128 | France | Unknown | 210ms
18.185.169.150:3128 | Germany | Unknown | 192ms
46.51.249.135:3128 | Japan | Unknown | 326ms
54.179.39.14:3128 | Singapore | Unknown | 452ms
37.187.25.85:80 | France | Unknown | 388ms
185.132.242.212:8083 | Russia | Unknown | 9999ms
15.236.106.236:3128 | France | Unknown | 1228ms
103.152.112.120:80 | United States | Unknown | 325ms
203.19.38.114:1080 | Hong Kong | Unknown | 979ms
104.238.160.36:80 | Japan | Unknown | 1607ms
13.56.192.187:80 | United States | Unknown | 139ms
162.223.90.130:80 | United States | Unknown | 105ms
51.20.50.149:3128 | Sweden | Unknown | 213ms
3.123.150.192:80 | Germany | Unknown | 195ms
46.148.143.137:80 | Russia | Unknown | 285ms
52.196.1.182:80 | Japan | Unknown | 318ms
65.1.40.47:80 | India | Unknown | 410ms
13.208.56.180:80 | Japan | Unknown | 348ms
23.247.136.245:80 | United States | Unknown | 659ms
63.35.64.177:3128 | Ireland | Unknown | 145ms
3.90.100.12:80 | United States | Unknown | 13ms
3.97.167.115:3128 | Canada | Unknown | 47ms
188.253.112.218:80 | Hong Kong | Unknown | 834ms
103.152.112.186:80 | United States | Unknown | 485ms
13.126.184.76:1080 | India | Unknown | 407ms
123.30.154.171:7777 | Vietnam | Unknown | 1070ms
167.103.19.22:11194 | India | Unknown | 1705ms
41.65.160.174:1976 | Egypt | Unknown | 9999ms
78.129.155.75:8080 | United Kingdom | Unknown | 9999ms
99.80.11.54:3128 | Ireland | Unknown | 144ms
43.201.121.81:80 | South Korea | Unknown | 388ms
23.247.137.142:80 | United States | Unknown | 776ms
44.195.247.145:80 | United States | Unknown | 18ms
63.32.1.88:3128 | Ireland | Unknown | 144ms
51.17.58.162:3128 | Israel | Unknown | 271ms
54.248.238.110:80 | Japan | Unknown | 334ms
13.246.209.48:1080 | South Africa | Unknown | 419ms
85.215.64.49:80 | Germany | Unknown | 390ms
97.74.87.226:80 | Japan | Unknown | 1495ms
8.210.232.181:7888 | Hong Kong | Unknown | 2967ms
39.109.113.97:4090 | Hong Kong | Unknown | 9999ms
3.71.239.218:3128 | Germany | Unknown | 193ms
13.37.89.201:80 | France | Unknown | 174ms
35.72.118.126:80 | Japan | Unknown | 317ms
23.88.116.40:80 | Germany | Unknown | 452ms
185.49.31.207:8081 | Poland | Unknown | 441ms
3.37.125.76:3128 | South Korea | Unknown | 390ms
31.148.207.153:80 | Ukraine | Unknown | 9999ms
91.241.217.58:9090 | Russia | Unknown | 623ms
13.36.113.81:3128 | France | Unknown | 176ms
103.152.112.195:80 | United States | Unknown | 730ms
37.204.144.240:8080 | Russia | Unknown | 502ms
3.124.133.93:3128 | Germany | Unknown | 195ms
212.127.95.235:8081 | Poland | Unknown | 438ms
47.56.110.204:8989 | Hong Kong | Unknown | 1000ms
46.47.197.210:3128 | Russia | Unknown | 2834ms
191.101.80.162:80 | United Kingdom | Unknown | 9999ms
13.59.140.31:8888 | United States | Unknown | 51ms
18.223.25.15:80 | United States | Unknown | 50ms
108.62.60.32:3128 | United States | Unknown | 9999ms
18.228.149.161:80 | Brazil | Unknown | 237ms
5.128.15.152:3128 | Russia | Unknown | 9999ms
80.249.112.162:80 | China | Unknown | 346ms
13.213.114.238:3128 | Singapore | Unknown | 451ms
51.20.19.159:3128 | Sweden | Unknown | 214ms
3.78.92.159:3128 | Germany | Unknown | 191ms
54.94.26.82:3128 | Brazil | Unknown | 234ms
35.154.78.253:1080 | India | Unknown | 406ms
120.26.0.11:8880 | China | Unknown | 2669ms
194.5.50.123:80 | Iran | Unknown | 1475ms
117.74.65.207:443 | China | Unknown | 2497ms
143.42.66.91:80 | Singapore | Unknown | 1664ms
204.236.137.68:80 | United States | Unknown | 140ms
18.169.83.87:1080 | United Kingdom | Unknown | 173ms
13.246.184.110:3128 | South Africa | Unknown | 422ms
93.171.157.249:8080 | Ukraine | Unknown | 638ms
52.73.224.54:3128 | United States | Unknown | 13ms
3.21.101.158:3128 | United States | Unknown | 56ms
52.16.232.164:3128 | Ireland | Unknown | 144ms
18.134.236.231:3128 | United Kingdom | Unknown | 167ms
3.129.184.210:80 | United States | Unknown | 46ms
185.49.31.205:8080 | Poland | Unknown | 9999ms
104.225.220.233:80 | United States | Unknown | 9999ms
118.218.126.54:9400 | South Korea | Unknown | 1500ms
8.148.20.126:8080 | China | Unknown | 2518ms
44.219.175.186:80 | United States | Unknown | 17ms
3.122.84.99:3128 | Germany | Unknown | 190ms
3.127.121.101:80 | Germany | Unknown | 197ms
54.179.44.51:3128 | Singapore | Unknown | 450ms
103.49.114.195:8080 | Bangladesh | Unknown | 1780ms
87.248.129.26:80 | United Arab Emirates | Unknown | 9999ms

# ---------------------------------------------------------
# Export path: results/socks4/20250228/20250228_012505/
# ProxyScraper | https://github.com/delldevmann/proxy-scraper
