# PROXY LIST: SOCKS5 - Generated: 2025-02-27 18:46:13
# Total found: 1901 | Working: 203 | Success rate: 10.7%
# Format: IP:PORT | COUNTRY | ANONYMITY | LATENCY
# ---------------------------------------------------------

# ELITE PROXIES (7)
13.36.87.105:3128 | France | Unknown | 283ms
3.126.147.182:80 | Germany | Unknown | 1308ms
148.66.6.214:80 | Unknown | Unknown | 9999ms
37.187.25.85:80 | France | Unknown | 858ms
43.132.219.102:80 | Unknown | Unknown | 9999ms
3.127.62.252:80 | Germany | Unknown | 317ms
103.49.114.5:8080 | Bangladesh | Unknown | 9999ms
79.110.202.131:8081 | Poland | Unknown | 2400ms
117.74.65.207:443 | China | Unknown | 2423ms
31.220.15.234:80 | Sweden | Unknown | 1556ms
176.9.239.181:80 | Germany | Unknown | 3419ms
3.71.239.218:3128 | Germany | Unknown | 284ms
47.92.242.45:8118 | China | Unknown | 9999ms
3.130.65.162:3128 | United States | Unknown | 112ms
3.124.133.93:3128 | Germany | Unknown | 283ms
43.200.77.128:3128 | South Korea | Unknown | 275ms
43.202.154.212:80 | South Korea | Unknown | 273ms
31.148.207.153:80 | Ukraine | Unknown | 772ms
103.152.112.157:80 | United States | Unknown | 851ms
185.132.242.212:8083 | Russia | Unknown | 9999ms
148.66.6.211:80 | Unknown | Unknown | 9999ms
65.1.244.232:3128 | India | Unknown | 458ms
119.46.68.228:80 | Thailand | Unknown | 1618ms
44.195.247.145:80 | United States | Unknown | 117ms
13.37.59.99:3128 | France | Unknown | 261ms
3.122.84.99:3128 | Germany | Unknown | 286ms
52.67.10.183:3128 | Brazil | Unknown | 328ms
3.37.125.76:3128 | South Korea | Unknown | 275ms
18.133.16.21:1080 | United Kingdom | Unknown | 255ms
18.169.83.87:1080 | United Kingdom | Unknown | 254ms
23.247.136.254:80 | United States | Unknown | 1787ms
45.61.159.42:3128 | United States | Unknown | 235ms
18.134.236.231:1080 | United Kingdom | Unknown | 257ms
35.72.118.126:80 | Japan | Unknown | 222ms
195.25.20.155:3128 | France | Unknown | 4948ms
43.163.87.93:8080 | Singapore | Unknown | 2427ms
181.129.74.58:40667 | Colombia | Unknown | 9999ms
8.210.38.209:1081 | Hong Kong | Unknown | 9999ms
13.36.104.85:80 | France | Unknown | 279ms
202.61.204.51:80 | Germany | Unknown | 2828ms
15.156.24.206:3128 | Canada | Unknown | 148ms
15.236.106.236:3128 | France | Unknown | 277ms
52.65.193.254:3128 | Australia | Unknown | 302ms
51.16.199.206:3128 | Israel | Unknown | 377ms
65.1.40.47:1080 | India | Unknown | 459ms
182.155.254.159:80 | Taiwan | Unknown | 769ms
52.63.129.110:3128 | Australia | Unknown | 301ms
45.161.201.202:3386 | Brazil | Unknown | 9999ms
185.212.60.63:80 | The Netherlands | Unknown | 8886ms
198.49.68.80:80 | United States | Unknown | 9999ms
54.67.125.45:3128 | United States | Unknown | 34ms
13.208.56.180:80 | Japan | Unknown | 235ms
18.169.83.87:3128 | United Kingdom | Unknown | 261ms
18.135.133.116:80 | United Kingdom | Unknown | 263ms
54.228.164.102:3128 | Ireland | Unknown | 233ms
51.16.179.113:1080 | Israel | Unknown | 390ms
99.80.11.54:3128 | Ireland | Unknown | 241ms
23.247.136.245:80 | United States | Unknown | 1267ms
45.239.175.105:8080 | Brazil | Unknown | 9999ms
185.49.31.205:8080 | Poland | Unknown | 3098ms
178.177.54.157:8080 | Russia | Unknown | 1011ms
116.125.141.115:80 | South Korea | Unknown | 3679ms
13.213.114.238:3128 | Singapore | Unknown | 354ms
63.143.57.119:80 | United States | Unknown | 9999ms
103.63.26.230:8080 | Indonesia | Unknown | 9999ms
63.35.64.177:3128 | Ireland | Unknown | 231ms
13.234.24.116:80 | India | Unknown | 472ms
43.157.47.47:443 | Germany | Unknown | 555ms
103.152.112.120:80 | United States | Unknown | 2352ms
201.73.228.20:3128 | Brazil | Unknown | 9999ms
113.160.132.195:8080 | Vietnam | Unknown | 9999ms
45.144.64.153:8080 | Russia | Unknown | 9999ms
47.90.205.231:33333 | United States | Unknown | 491ms
185.49.31.207:8081 | Poland | Unknown | 2693ms
190.111.209.207:3128 | Argentina | Unknown | 9999ms
187.85.82.222:55676 | Brazil | Unknown | 9999ms
54.152.3.36:80 | United States | Unknown | 116ms
13.59.156.167:3128 | United States | Unknown | 116ms
43.201.121.81:80 | South Korea | Unknown | 272ms
13.37.73.214:80 | France | Unknown | 265ms
13.246.209.48:1080 | South Africa | Unknown | 507ms
97.74.87.226:80 | Japan | Unknown | 846ms
113.212.108.107:8080 | Bangladesh | Unknown | 1900ms
51.254.78.223:80 | Ireland | Unknown | 487ms
178.165.42.166:3128 | Ukraine | Unknown | 9999ms
58.32.17.138:1070 | Hong Kong | Unknown | 9999ms
84.53.245.42:41258 | Russia | Unknown | 9999ms
101.51.55.153:8080 | Thailand | Unknown | 9999ms

# ---------------------------------------------------------
# Export path: results/socks5/20250227/20250227_184613/
# ProxyScraper | https://github.com/delldevmann/proxy-scraper
