# PROXY LIST: SOCKS4 - Generated: 2025-02-27 18:36:29
# Total found: 2504 | Working: 156 | Success rate: 6.2%
# Format: IP:PORT | COUNTRY | ANONYMITY | LATENCY
# ---------------------------------------------------------

# ELITE PROXIES (3)
43.163.87.93:8080 | Singapore | Unknown | 1677ms
39.102.214.199:3128 | China | Unknown | 2423ms
8.130.34.237:80 | China | Unknown | 2485ms
51.68.175.56:1080 | Germany | Unknown | 9999ms
184.169.154.119:80 | United States | Unknown | 41ms
3.90.100.12:80 | United States | Unknown | 107ms
3.130.65.162:3128 | United States | Unknown | 113ms
3.97.167.115:3128 | Canada | Unknown | 148ms
35.76.62.196:80 | Japan | Unknown | 222ms
3.37.125.76:3128 | South Korea | Unknown | 273ms
3.78.92.159:3128 | Germany | Unknown | 284ms
13.56.192.187:80 | United States | Unknown | 37ms
37.187.25.85:80 | France | Unknown | 532ms
23.247.136.245:80 | United States | Unknown | 1579ms
13.38.176.104:3128 | France | Unknown | 260ms
13.234.24.116:80 | India | Unknown | 471ms
13.37.89.201:3128 | France | Unknown | 1295ms
185.49.31.207:8081 | Poland | Unknown | 1542ms
39.102.210.176:8008 | China | Unknown | 2435ms
39.102.211.162:8080 | China | Unknown | 2477ms
54.152.3.36:80 | United States | Unknown | 109ms
63.35.64.177:3128 | Ireland | Unknown | 232ms
35.176.148.8:1080 | United Kingdom | Unknown | 256ms
13.36.104.85:80 | France | Unknown | 278ms
43.200.77.128:3128 | South Korea | Unknown | 275ms
3.127.121.101:80 | Germany | Unknown | 278ms
103.152.112.195:80 | United States | Unknown | 1184ms
103.152.112.186:80 | United States | Unknown | 1294ms
15.206.25.41:1080 | India | Unknown | 906ms
79.110.202.184:8081 | Poland | Unknown | 530ms
63.32.1.88:3128 | Ireland | Unknown | 242ms
3.123.150.192:80 | Germany | Unknown | 276ms
54.233.119.172:3128 | Brazil | Unknown | 332ms
31.220.15.234:80 | Sweden | Unknown | 535ms
65.1.40.47:1080 | India | Unknown | 908ms
65.1.244.232:1080 | India | Unknown | 474ms
34.238.112.235:8082 | United States | Unknown | 1188ms
39.102.208.149:8080 | China | Unknown | 2442ms
8.219.229.53:80 | Singapore | Unknown | 9999ms

# ---------------------------------------------------------
# Export path: results/socks4/20250227/20250227_183629/
# ProxyScraper | https://github.com/delldevmann/proxy-scraper
